_key,effect_id,show_priority,virtual,buff_type,replace_type,value_type,name,tips
141,141,6,1,2,3,1,生效几率提高,生效几率提高
149,149,4,1,0,1,0,额外触发刚施加的效果   ,触发结算位对应效果
150,150,4,1,0,1,0,触发指定效果,触发指定效果
151,151,4,1,0,1,0,触发效果,触发效果
152,152,4,1,0,1,0,移除效果,移除效果
153,153,4,1,0,1,0,触发效果（受属性影响）,触发效果
161,161,6,1,2,0,1,无视敌方属性,无视敌方属性
171,171,7,1,2,3,0,战法有效距离提高,战法有效距离提高
181,181,7,1,1,3,0,战法有效距离降低,战法有效距离降低
190,190,3,1,2,3,0,无法成为普通攻击目标,无法成为普通攻击目标
193,193,3,1,2,3,0,无法成为主动战法目标,无法成为主动战法目标
194,194,3,1,2,3,0,无法成为追击战法目标,无法成为追击战法目标
199,199,4,1,2,3,0,幻化,幻化
200,200,4,1,2,3,1,连击,连击
201,201,7,1,1,0,2,攻击属性降低,攻击属性降低
202,202,7,1,1,0,2,防御属性降低,防御属性降低
203,203,7,1,1,0,2,谋略属性降低,谋略属性降低
204,204,7,1,1,0,2,速度属性降低,速度属性降低
205,205,7,1,1,0,2,攻城属性降低,攻城属性降低
206,206,7,1,1,0,0,攻击距离降低,攻击距离降低
207,207,3,1,1,0,0,不可回复兵力,不可回复兵力
210,210,4,1,2,3,1,命名flag,命名flag
220,220,3,1,2,3,1,免疫围困,免疫围困
225,225,8,1,1,2,1,受到燃烧效果伤害提高,受到燃烧效果伤害提高
231,231,6,1,1,2,1,发动率降低,发动率降低
235,235,8,1,2,2,1,受到燃烧效果伤害降低,受到燃烧效果伤害降低
241,241,6,1,1,3,1,生效几率降低,生效几率降低
251,251,8,1,2,2,1,特殊伤害提高,特殊伤害提高
252,252,8,1,1,2,1,特殊伤害降低,特殊伤害降低
261,261,8,1,1,2,1,受到特殊伤害提高,受到特殊伤害提高
262,262,8,1,2,2,1,受到特殊伤害降低,受到特殊伤害降低
271,271,8,1,2,2,1,造成恢复效果提高,造成恢复效果提高
272,272,8,1,1,2,1,造成恢复效果降低,造成恢复效果降低
281,281,8,1,2,2,1,受到恢复效果提高,受到恢复效果提高
282,282,8,1,1,2,1,受到恢复效果降低,受到恢复效果降低
301,301,2,1,1,1,1,攻击伤害,直接攻击
302,302,2,1,1,1,1,策略攻击伤害,策略攻击
303,303,2,0,1,0,1,动摇,动摇
304,304,2,0,1,0,1,恐慌,恐慌
305,305,2,0,1,0,1,燃烧,燃烧
306,306,2,0,1,0,1,妖术,妖术
307,307,2,1,1,1,1,火攻,策略攻击
311,311,6,1,2,3,0,控制延长,控制延长
312,312,6,1,2,3,0,全体控制延长,全体控制延长
313,313,6,1,2,3,0,效果减少1次,效果减少1次
321,321,8,1,2,2,1,普通攻击伤害提高,普通攻击伤害提高
322,322,8,1,2,2,1,主动战法伤害提高,主动战法伤害提高
323,323,8,1,2,2,1,被动战法伤害提高,被动战法伤害提高
324,324,8,1,2,2,1,指挥战法伤害提高,指挥战法伤害提高
325,325,8,1,2,2,1,追击战法伤害提高,追击战法伤害提高
331,331,8,1,1,2,1,普通攻击伤害降低,普通攻击伤害降低
332,332,8,1,1,2,1,主动战法伤害降低,主动战法伤害降低
333,333,8,1,1,2,1,被动战法伤害降低,被动战法伤害降低
334,334,8,1,1,2,1,指挥战法伤害降低,指挥战法伤害降低
335,335,8,1,1,2,1,追击战法伤害降低,追击战法伤害降低
341,341,8,1,1,2,1,受到普通攻击伤害提高,受到普通攻击伤害提高
342,342,8,1,1,2,1,受到主动战法伤害提高,受到主动战法伤害提高
343,343,8,1,1,2,1,受到被动战法伤害提高,受到被动战法伤害提高
344,344,8,1,1,2,1,受到指挥战法伤害提高,受到指挥战法伤害提高
345,345,8,1,1,2,1,受到追击战法伤害提高,受到追击战法伤害提高
351,351,8,1,2,2,1,受到普通攻击伤害降低,受到普通攻击伤害降低
352,352,8,1,2,2,1,受到主动战法伤害降低,受到主动战法伤害降低
353,353,8,1,2,2,1,受到被动战法伤害降低,受到被动战法伤害降低
354,354,8,1,2,2,1,受到指挥战法伤害降低,受到指挥战法伤害降低
355,355,8,1,2,2,1,受到追击战法伤害降低,受到追击战法伤害降低
401,401,2,1,2,0,1,急救,急救
402,402,2,1,2,0,1,休整,休整
404,404,2,1,2,3,0,增加1个控制目标,控制目标+1
405,405,6,1,2,3,0,效果增加1回合,效果增加1回合
406,406,6,1,2,3,0,效果增加1次,效果增加1次
407,407,6,1,2,3,0,伤害吸收,伤害吸收
408,408,6,1,2,3,0,伤害释放,伤害释放
409,409,4,1,2,3,0,同心,同心
411,411,8,1,1,2,1,处于混乱状态受伤害提高,处于混乱状态受伤害提高
412,412,8,1,1,2,1,处于犹豫状态受伤害提高,处于犹豫状态受伤害提高
413,413,8,1,1,2,1,处于暴走状态受伤害提高,处于暴走状态受伤害提高
414,414,8,1,1,2,1,处于怯战状态受伤害提高,处于怯战状态受伤害提高
421,421,8,1,2,2,1,处于混乱状态受伤害降低,处于混乱状态受伤害降低
422,422,8,1,2,2,1,处于犹豫状态受伤害降低,处于犹豫状态受伤害降低
423,423,8,1,2,2,1,处于暴走状态受伤害降低,处于暴走状态受伤害降低
424,424,8,1,2,2,1,处于怯战状态受伤害降低,处于怯战状态受伤害降低
501,501,3,0,1,3,1,混乱,混乱
502,502,3,0,1,3,1,犹豫,犹豫
503,503,3,0,1,3,1,暴走,暴走
504,504,4,1,2,3,1,援护,援护
505,505,4,1,1,3,1,挑衅,挑衅
506,506,4,1,2,3,0,承担攻击伤害,承担攻击伤害
511,511,3,1,2,3,1,洞察,洞察
512,512,4,1,1,3,1,看破,看破
513,513,4,1,2,3,1,镇静,镇静
514,514,4,1,2,3,1,规避,规避
515,515,6,1,2,3,1,无视规避,无视规避
521,521,8,1,1,2,1,受到攻击伤害提高,受到攻击伤害提高
522,522,8,1,2,2,1,受到攻击伤害降低,受到攻击伤害降低
523,523,8,1,1,2,1,受到策略攻击伤害提高,受到策略攻击伤害提高
524,524,8,1,2,2,1,受到策略攻击伤害降低,受到策略攻击伤害降低
525,525,8,1,1,2,1,受到友军攻击伤害提高,受到友军攻击伤害提高
526,526,8,1,2,2,1,受到友军攻击伤害降低,受到友军攻击伤害降低
527,527,8,1,1,2,1,受到友军策略攻击伤害提高,受到友军策略攻击伤害提高
528,528,8,1,2,2,1,受到友军策略攻击伤害降低,受到友军策略攻击伤害降低
531,531,8,1,2,2,1,攻击伤害提高,攻击伤害提高
532,532,8,1,1,2,1,攻击伤害降低,攻击伤害降低
533,533,8,1,2,2,1,策略攻击伤害提高,策略攻击伤害提高
534,534,8,1,1,2,1,策略攻击伤害降低,策略攻击伤害降低
541,541,4,1,2,3,1,反射,反射
542,542,4,1,2,3,1,攻心,攻心
543,543,4,1,2,3,1,先攻,先攻
544,544,4,1,2,3,1,连击,连击
545,545,4,1,2,3,1,分兵,分兵
546,546,4,1,2,3,1,株杀,株杀
551,551,4,1,2,3,1,反击,反击
552,552,3,0,1,3,1,怯战,怯战
553,553,4,1,2,3,0,无视反击,无视反击
561,561,4,1,2,3,1,先手,先手
571,571,6,1,2,3,1,无视兵种相克,无视相克
581,581,2,1,2,3,0,减少自带战法准备回合,减少自带战法准备回合
582,582,2,1,2,3,0,减少通用战法准备回合,减少通用战法准备回合
583,583,2,1,1,3,0,增加主战法准备回合,增加主战法准备回合
591,591,3,1,2,3,1,免疫混乱,免疫混乱
592,592,3,1,2,3,1,免疫犹豫,免疫犹豫
593,593,3,1,2,3,1,免疫暴走,免疫暴走
594,594,3,1,2,3,1,免疫怯战,免疫怯战
601,601,9,1,2,0,1,木材收益提升,木材收益提升
602,602,9,1,2,0,1,石头收益提升,石头收益提升
603,603,9,1,2,0,1,铁矿收益提升,铁矿收益提升
604,604,9,1,2,0,1,粮食收益提升,粮食收益提升
605,605,9,1,2,0,1,钱收益提升,钱收益提升
607,607,9,1,2,0,1,经验值收益提升,经验值收益提升
621,621,8,1,2,2,1,受弓兵伤害降低,受弓兵伤害降低
622,622,8,1,2,2,1,受步兵伤害降低,受步兵伤害降低
623,623,8,1,2,2,1,受骑兵伤害降低,受骑兵伤害降低
631,631,8,1,2,0,1,对NPC伤害提高,对NPC伤害提高
701,701,3,0,1,3,1,混乱(预备),混乱
702,702,3,0,1,3,1,犹豫(预备),犹豫
703,703,3,0,1,3,1,暴走(预备),暴走
711,711,3,1,2,3,1,洞察(预备),洞察
712,712,4,1,1,3,1,看破(预备),看破
713,713,4,1,2,3,1,镇静(预备),镇静
714,714,4,1,2,3,1,规避(预备),规避
715,715,6,1,2,3,1,无视规避(预备),无视规避
743,743,4,1,2,3,1,先攻(预备),先攻
744,744,4,1,2,3,1,连击(预备),连击
752,752,3,0,1,3,1,怯战(预备),怯战
761,761,4,1,2,3,1,先手(预备),先手
771,771,6,1,2,3,1,无视兵种相克(预备),无视相克
781,781,2,1,2,3,0,减少自带战法准备回合(预备),减少自带战法准备回合
782,782,2,1,2,3,0,减少通用战法准备回合(预备),减少通用战法准备回合
791,791,3,1,2,3,1,免疫混乱(预备),免疫混乱
792,792,3,1,2,3,1,免疫犹豫(预备),免疫犹豫
793,793,3,1,2,3,1,免疫暴走(预备),免疫暴走
794,794,3,1,2,3,1,免疫怯战(预备),免疫怯战
801,801,3,1,1,3,1,混乱(设施),混乱
802,802,3,1,1,3,1,犹豫(设施),犹豫
803,803,3,1,1,3,1,暴走(设施),暴走
811,811,3,1,2,3,1,洞察(设施),洞察
812,812,4,1,1,3,1,看破(设施),看破
813,813,4,1,2,3,1,镇静(设施),镇静
814,814,4,1,2,3,1,规避(设施),规避
815,815,6,1,2,3,1,无视规避(设施),无视规避
843,843,4,1,2,3,1,先攻(设施),先攻
844,844,4,1,2,3,1,连击(设施),连击
852,852,3,1,1,3,1,怯战(设施),怯战
861,861,4,1,2,3,1,先手(设施),先手
871,871,6,1,2,3,1,无视兵种相克(设施),无视相克
901,901,3,0,1,3,1,无法行动,混乱
902,902,3,0,1,3,1,无法发动主动战法,犹豫
903,903,3,0,1,3,1,不分敌我目标,暴走
952,952,3,0,1,3,1,不能普通攻击,怯战
